* モンスター（以前の形式）  [#de0cefec]

- パラメータについては各モンスターの詳細ページを参照してださい。
- 関連ページ
-- [[モンスター図鑑/最大値]]
-- [[入手方法]]
-- [[覚醒スキル]]

&color(,#eee){ページ内リンク};
[[001>#no001]] - [[101>#no101]] - [[201>#no201]] - [[301>#no301]] - [[401>#no401]] - [[501>#no501]] - [[601>#no601]] - [[701>#no701]] - [[801>#no801]] - [[901>#no901]] - [[1001>#no1001]] - [[1101>#no1101]] - [[1201>#no1201]] - [[1301>#no1301]] - [[1401>#no1401]] - [[1501>#no1501]] - [[1601>#no1601]] - [[1701>#no1701]] - [[1801>#no1801]] - [[1901>#no1901]] - [[2001>#no2001]] - [[2101>#no2101]] - [[2201>#no2201]] - [[2301>#no2301]]

#style(class=enableFilter){{
|~No|~名称			|~☆|~タイプ|~属|~CO|~スキル|~リーダースキル|~最大Lv|h
|1799|[[ビーデル>モンスター図鑑/1799]]	|4|バランス/ドラゴン|BGCOLOR(#f1bba6):火|10|舞空術|おとなしくつかまりなさい|50(300)|
|1800|[[サタンの娘・ビーデル>モンスター図鑑/1800]]	|5|バランス/ドラゴン|BGCOLOR(#f1bba6):火木|20|舞空術|おとなしくつかまりなさい|99(300)|
|1801&aname(no1801);|[[ゴテンクス>モンスター図鑑/1801]]	|5|攻撃/ドラゴン|BGCOLOR(#a6f1f1):水火|14|SGカミカゼアタック|終わりにしてやるぜ!!|50(400)|
|1802|[[超サイヤ人・ゴテンクス>モンスター図鑑/1802]]	|6|攻撃/ドラゴン|BGCOLOR(#a6f1f1):水火|24|SGカミカゼアタック|終わりにしてやるぜ!!|99(400)|
|1803|[[デンデ＆ポルンガ>モンスター図鑑/1803]]	|6|神/ドラゴン|BGCOLOR(#bbf1a6):木木|15|治癒能力|すぐなおしてあげる!!|99(300)|
|1804|[[ブルマ>モンスター図鑑/1804]]	|5|回復/ドラゴン|BGCOLOR(#a6f1f1):水水|12|ドラゴンレーダー|さあーいくわよ！|99(300)|
|1805|[[ドラゴンボール・一星球>モンスター図鑑/1805]]	|5|強化用|BGCOLOR(#f1f1a6):光|1|超かめはめ波|なし|1|
|1806|[[ドラゴンボール・三星球>モンスター図鑑/1806]]	|5|強化用|BGCOLOR(#f1f1a6):光|1|超級かめはめ波|なし|1|
|1807|[[ドラゴンボール・四星球>モンスター図鑑/1807]]	|5|強化用|BGCOLOR(#f1f1a6):光|1|かめはめ波|なし|1|
|1808|[[ドラゴンボール・六星球>モンスター図鑑/1808]]	|5|強化用|BGCOLOR(#f1f1a6):光|1|必殺剣|なし|1|
|1809|[[ドラゴンボール・七星球>モンスター図鑑/1809]]	|5|強化用|BGCOLOR(#f1f1a6):光|1|SGカミカゼアタック|なし|1|
|1810|[[ドラゴンボール・二星球＆五星球>モンスター図鑑/1810]]	|5|強化用|BGCOLOR(#f1f1a6):光|1|ファイナルフラッシュ|なし|1|
|1811|[[ミニ曹操>モンスター図鑑/1811]]	|4|神/攻撃|BGCOLOR(#f1bba6):火|15|主我覇道の編纂|超世の追求|50(300)|
|1812|[[求覇の武王神・ミニ曹操>モンスター図鑑/1812]]	|5|神/攻撃|BGCOLOR(#f1bba6):火|25|主我覇道の編纂|超世の追求|99(300)|
|1813|[[ミニ孫権>モンスター図鑑/1813]]	|4|神/回復|BGCOLOR(#a6f1f1):水|15|虚心担懐の慧眼|虎児の猛心|50(300)|
|1814|[[秘勇の将軍神・ミニ孫権>モンスター図鑑/1814]]	|5|神/回復|BGCOLOR(#a6f1f1):水|25|虚心担懐の慧眼|虎児の猛心|99(300)|
|1815|[[ミニ劉備>モンスター図鑑/1815]]	|4|神/攻撃|BGCOLOR(#bbf1a6):木|15|捲土重来の引導|決起の武勇|50(300)|
|1816|[[明徳の英傑神・ミニ劉備>モンスター図鑑/1816]]	|5|神/攻撃|BGCOLOR(#bbf1a6):木|25|捲土重来の引導|決起の武勇|99(300)|
|1817|[[ミニ大喬＆小喬>モンスター図鑑/1817]]	|4|神/回復|BGCOLOR(#f1f1a6):光水|15|則天去私の献身|天昇の奏舞|50(300)|
|1818|[[凛聖の双華神・ミニ大喬＆小喬>モンスター図鑑/1818]]	|5|神/回復|BGCOLOR(#f1f1a6):光水|25|則天去私の献身|天昇の奏舞|99(300)|
|1819|[[ミニ呂布>モンスター図鑑/1819]]	|4|神/悪魔|BGCOLOR(#bba6f1):闇|15|天下無双の崩撃|業滅の衝動|50(300)|
|1820|[[羅刹の飛将神・ミニ呂布>モンスター図鑑/1820]]	|5|神/悪魔|BGCOLOR(#bba6f1):闇|25|天下無双の崩撃|業滅の衝動|99(300)|
|1821|[[忠義神・ミニ関羽>モンスター図鑑/1821]]	|5|神/ドラゴン|BGCOLOR(#f1bba6):火闇|35|首尾一貫の剛毅|龍起の礼節|50(400)|
|1822|[[奮起の忠義神・ミニ関羽>モンスター図鑑/1822]]	|6|神/ドラゴン|BGCOLOR(#f1bba6):火闇|50|首尾一貫の剛毅|龍起の礼節|99(400)|
|1823|[[命龍神・ミニ諸葛亮>モンスター図鑑/1823]]	|5|神/回復|BGCOLOR(#f1f1a6):光|35|水明星心の占術|八陣の本質|50(400)|
|1824|[[天星の命龍神・ミニ諸葛亮>モンスター図鑑/1824]]	|6|神/回復|BGCOLOR(#f1f1a6):光水|50|水明星心の占術|八陣の本質|99(400)|
|1825|[[I LOVE デビベア>モンスター図鑑/1825]]	|4|悪魔|BGCOLOR(#bba6f1):闇|10|BEAMSデビーム|ワンダーデビベア|99(300)|
|1826|[[紅天使・ロズエル>モンスター図鑑/1826]]	|5|神/攻撃|BGCOLOR(#f1bba6):火水|20|癒しの聖歌|進撃の伝令|50(400)|
|1827|[[紅翼の星天使・ロズエル>モンスター図鑑/1827]]	|6|神/攻撃|BGCOLOR(#f1bba6):火水|30|癒しの聖歌|進撃の伝令|99(400)|
|1828|[[蒼天使・ファミエル>モンスター図鑑/1828]]	|5|神/回復|BGCOLOR(#a6f1f1):水光|20|神水の聖歌|決起の伝令|50(400)|
|1829|[[蒼翼の星天使・ファミエル>モンスター図鑑/1829]]	|6|神/回復|BGCOLOR(#a6f1f1):水光|30|神水の聖歌|決起の伝令|99(400)|
|1830|[[翠天使・リュエル>モンスター図鑑/1830]]	|5|神/悪魔|BGCOLOR(#bbf1a6):木闇|20|超力の聖歌|魔撃の伝令|50(400)|
|1831|[[翠翼の星天使・リュエル>モンスター図鑑/1831]]	|6|神/悪魔|BGCOLOR(#bbf1a6):木闇|30|超力の聖歌|魔撃の伝令|99(400)|
|1832|[[聖天使・アリエル>モンスター図鑑/1832]]	|5|神/攻撃|BGCOLOR(#f1f1a6):光火|20|光導の聖歌|退魔の伝令|50(400)|
|1833|[[聖翼の星天使・アリエル>モンスター図鑑/1833]]	|6|神/攻撃|BGCOLOR(#f1f1a6):光火|30|光導の聖歌|退魔の伝令|99(400)|
|1834|[[魔天使・ルミエル>モンスター図鑑/1834]]	|5|神/悪魔|BGCOLOR(#bba6f1):闇水|20|討魔の聖歌|魔召の伝令|50(400)|
|1835|[[魔翼の星天使・ルミエル>モンスター図鑑/1835]]	|6|神/悪魔|BGCOLOR(#bba6f1):闇水|30|討魔の聖歌|魔召の伝令|99(400)|
|1836|[[メジェドラ>モンスター図鑑/1836]]	|6|神/バランス|BGCOLOR(#bbf1a6):木|30|星霊の輝き|メジェビーム|50(400)|
|1837|[[冥穣の守護神・メジェドラ>モンスター図鑑/1837]]	|7|神/バランス|BGCOLOR(#bbf1a6):木火|40|星霊の輝き|メジェビーム|99(400)|
|1838|[[?>モンスター図鑑/1838]]	||||||||
|1839|[[?>モンスター図鑑/1839]]	||||||||
|1840|[[海龍王・ヴォルスーン>モンスター図鑑/1840]]	||||||||
|1841|[[大弯の海龍王・ヴォルスーン>モンスター図鑑/1841]]	||||||||
|1842|[[?>モンスター図鑑/1842]]	||||||||
|1843|[[?>モンスター図鑑/1843]]	||||||||
|1844|[[騎龍王・ノルディス>モンスター図鑑/1844]]	|7|ドラゴン|BGCOLOR(#f1f1a6):光|80|ロイヤルグラビティ|騎龍の逆鱗|99(600)|
|1845|[[解放の騎龍王・ノルディス>モンスター図鑑/1845]]	|8|ドラゴン/バランス|BGCOLOR(#f1f1a6):光木|90|ロイヤルグラビティ|騎龍王の逆鱗|99(600)|
|1846|[[幻龍王・ゼローグ∞>モンスター図鑑/1846]]	|7|ドラゴン|BGCOLOR(#bba6f1):闇|80|ライジングダーク|幻龍の逆鱗|99(600)|
|1847|[[黒天の幻龍王・ゼローグ∞>モンスター図鑑/1847]]	|8|ドラゴン/体力|BGCOLOR(#bba6f1):闇水|99|ライジングダーク|幻龍王の逆鱗|99(600)|
|1848|[[密命の天使・イーリア>モンスター図鑑/1848]]	|7|神/回復|BGCOLOR(#f1f1a6):光光|99|ホーリースター|聖域への先導|99(600)|
|1849|[[忘却の死神・グリザル>モンスター図鑑/1849]]	|7|悪魔/攻撃|BGCOLOR(#bba6f1):闇闇|99|デスゲイザー|地獄への誘い|99(600)|
|1850|[[ジャギ>モンスター図鑑/1850]]	|3|攻撃|BGCOLOR(#bba6f1):闇|7|なし|おれの名をいってみろ!!|25(150)|
|1851|[[暴虐の徒・ジャギ>モンスター図鑑/1851]]	|4|攻撃|BGCOLOR(#bba6f1):闇|12|サモンダーク|おれの名をいってみろ!!|70(300)|
|1852|[[アミバ>モンスター図鑑/1852]]	|3|攻撃|BGCOLOR(#bba6f1):闇|7|なし|媚びろ～!!媚びろ～!!|25(150)|
|1853|[[偽りの北斗神拳・アミバ>モンスター図鑑/1853]]	|4|攻撃|BGCOLOR(#bba6f1):闇水|12|シャッフルショット|媚びろ～!!媚びろ～!!|70(300)|
|1854|[[ウイグル>モンスター図鑑/1854]]	|3|攻撃|BGCOLOR(#bba6f1):闇|7|なし|あ～聞こえんなぁ|25(150)|
|1855|[[獄長・ウイグル>モンスター図鑑/1855]]	|4|攻撃|BGCOLOR(#bba6f1):闇|12|ブレイクタイム|あ～聞こえんなぁ|70(300)|
|1856|[[拳王・ラオウ>モンスター図鑑/1856]]	|5|悪魔|BGCOLOR(#bba6f1):闇|12|かかってくるがいい!!|きさまがみた星は死兆星!!|50(400)|
|1857|[[世紀末覇者・ラオウ>モンスター図鑑/1857]]	|6|悪魔|BGCOLOR(#bba6f1):闇火|22|かかってくるがいい!!|きさまがみた星は死兆星!!|99(400)|
|1858|[[ラオウ>モンスター図鑑/1858]]	|5|悪魔|BGCOLOR(#f1bba6):火|12|天に滅せい|おまえたちには死あるのみ|50(400)|
|1859|[[天の覇者・ラオウ>モンスター図鑑/1859]]	|6|悪魔/攻撃|BGCOLOR(#f1bba6):火闇|22|天に滅せい|天将奔烈|99(400)|
|1860|[[ケンシロウ>モンスター図鑑/1860]]	|5|体力|BGCOLOR(#f1bba6):火|12|お前はもう死んでいる|北斗神拳は無敵だ!!|50(400)|
|1861|[[北斗神拳・ケンシロウ>モンスター図鑑/1861]]	|6|体力/攻撃|BGCOLOR(#f1bba6):火光|22|お前はもう死んでいる|北斗百裂拳|99(400)|
|1862|[[トキ>モンスター図鑑/1862]]	|5|回復|BGCOLOR(#a6f1f1):水|12|闘勁呼法|北斗有情破顔拳|50(400)|
|1863|[[柔の拳・トキ>モンスター図鑑/1863]]	|6|回復/攻撃|BGCOLOR(#a6f1f1):水光|22|闘勁呼法|せめて奥義で葬ろう|99(400)|
|1864|[[シン>モンスター図鑑/1864]]	|4|悪魔|BGCOLOR(#f1f1a6):光|10|地獄へつきおとしてやる|何本目に死ぬかな～|50(300)|
|1865|[[南斗聖拳・シン>モンスター図鑑/1865]]	|5|悪魔|BGCOLOR(#f1f1a6):光闇|20|地獄へつきおとしてやる|執念の元をたってやろう|99(300)|
|1866|[[レイ>モンスター図鑑/1866]]	|4|攻撃|BGCOLOR(#a6f1f1):水|10|てめえらの血は何色だ!|今度はてめえの番だ!!|50(300)|
|1867|[[南斗水鳥拳・レイ>モンスター図鑑/1867]]	|5|攻撃|BGCOLOR(#a6f1f1):水光|20|てめえらの血は何色だ!|飛翔白麗|99(300)|
|1868|[[ユダ>モンスター図鑑/1868]]	|4|バランス|BGCOLOR(#bbf1a6):木|10|奥義血粧嘴|ひさしぶりだな……|50(300)|
|1869|[[南斗紅鶴拳・ユダ>モンスター図鑑/1869]]	|5|バランス|BGCOLOR(#bbf1a6):木闇|20|奥義血粧嘴|切れろ切れろぉ|99(300)|
|1870|[[シュウ>モンスター図鑑/1870]]	|4|攻撃|BGCOLOR(#bbf1a6):木|10|聞け!わが魂の叫びを!!|この命つきるまで!!|50(300)|
|1871|[[南斗白鷺拳・シュウ>モンスター図鑑/1871]]	|5|攻撃|BGCOLOR(#bbf1a6):木光|20|聞け!わが魂の叫びを!!|南斗烈脚斬陣|99(300)|
|1872|[[サウザー>モンスター図鑑/1872]]	|4|悪魔|BGCOLOR(#f1f1a6):光|10|奥義天翔十字鳳|滅びるがいい愛とともに!!|50(350)|
|1873|[[聖帝・サウザー>モンスター図鑑/1873]]	|5|悪魔|BGCOLOR(#f1f1a6):光闇|20|奥義天翔十字鳳|退かぬ!!媚びぬ!!省みぬ!!|99(350)|
|1874|[[マミヤ>モンスター図鑑/1874]]	|4|回復|BGCOLOR(#f1bba6):火|10|鋼製の娥媚刺|わたしになんの用…|50(300)|
|1875|[[秘愛の女戦士・マミヤ>モンスター図鑑/1875]]	|5|回復|BGCOLOR(#f1bba6):火光|20|鋼製の娥媚刺|いいんだわたしはあの星で|99(300)|
|1876|[[ミニ趙雲>モンスター図鑑/1876]]	|5|攻撃|BGCOLOR(#bbf1a6):木木|30|質実剛健の奮起|誠心の闘志|70(400)|
|1877|[[龍威の勇将軍・ミニ趙雲>モンスター図鑑/1877]]	|6|攻撃/ドラゴン|BGCOLOR(#bbf1a6):木光|40|質実剛健の奮起|誠心の闘志|99(400)|
|1878|[[ディアゴルドス>モンスター図鑑/1878]]	|6|ドラゴン|BGCOLOR(#f1bba6):火|40|テールライトニング|守りの剣鱗|50(500)|
|1879|[[重装剣龍・ディアゴルドス>モンスター図鑑/1879]]	|7|ドラゴン/攻撃|BGCOLOR(#f1bba6):火光|50|テールライトニング|守りの剣鱗|99(500)|
|1880|[[富山湾の絶対王者・寒ブリ>モンスター図鑑/1880]]	|6|体力|BGCOLOR(#a6f1f1):水水|30|きときと|富山湾の至宝・冬|99(400)|
|1881|[[双曲剣の勇士・ショーテル>モンスター図鑑/1881]]	|5|攻撃|BGCOLOR(#f1bba6):火火|15|スタイルチェンジ・木|疾風の双剣術|99(500)|
|1882|[[両刃剣の勇士・クレイモア>モンスター図鑑/1882]]	|5|攻撃|BGCOLOR(#a6f1f1):水水|15|スタイルチェンジ・火|灼熱の大剣術|99(500)|
|1883|[[無銘刀の勇士・正宗>モンスター図鑑/1883]]	|5|攻撃|BGCOLOR(#bbf1a6):木木|15|スタイルチェンジ・水|静流の刀剣術|99(500)|
|1884|[[曲刃剣の勇士・コピス>モンスター図鑑/1884]]	|5|攻撃|BGCOLOR(#f1f1a6):光光|15|スタイルチェンジ・火|猛炎の曲剣術|99(500)|
|1885|[[巨重剣の勇士・ツヴァイハンダー>モンスター図鑑/1885]]	|5|攻撃|BGCOLOR(#bba6f1):闇闇|15|スタイルチェンジ・水|激流の重剣術|99(500)|
|1886|[[紅蓮華飛速・エキドナロココ>モンスター図鑑/1886]]	|7|神/回復|BGCOLOR(#f1bba6):火光|33|尖聖剣|聖火鳥ルージュ|99(400)|
|1887|[[幸七羽毛・ヘッドロココ>モンスター図鑑/1887]]	|7|神/回復|BGCOLOR(#f1f1a6):光火|33|尖聖剣|聖神パシー受身|99(400)|
|1888|[[神王妃・ヘラマリア>モンスター図鑑/1888]]	|6|悪魔/神|BGCOLOR(#bba6f1):闇火|30|超悪魔の魔炎|ヘラマリアの吐息|99(300)|
|1889|[[6聖球・サタンマリア>モンスター図鑑/1889]]	|6|悪魔/神|BGCOLOR(#f1bba6):火闇|30|超悪魔の魔炎|マリアアイ|99(300)|
|1890|[[たまドラゼウス>モンスター図鑑/1890]]	|5|覚醒用|BGCOLOR(#f1f1a6):光|12|ヒレフセーッ！|双子星の輝きたまぁ|1|
|1891|[[ラオウちびドラ>モンスター図鑑/1891]]	|3|強化用|BGCOLOR(#bba6f1):闇|1|天に滅せい|なし|1|
|1892|[[?>モンスター図鑑/1892]]	||||||||
|1893|[[?>モンスター図鑑/1893]]	||||||||
|1894|[[?>モンスター図鑑/1894]]	||||||||
|1895|[[?>モンスター図鑑/1895]]	||||||||
|1896|[[地の龍剣士>モンスター図鑑/1896]]	|4|ドラゴン|BGCOLOR(#bbf1a6):木|9|龍撃態勢・木|地龍の片鱗|50(150)|
|1897|[[アースドラゴンナイト>モンスター図鑑/1897]]	|5|ドラゴン|BGCOLOR(#bbf1a6):木木|14|龍撃態勢・木|地龍の紋章|99(300)|
|1898|[[闇の龍剣士>モンスター図鑑/1898]]	|4|ドラゴン|BGCOLOR(#bba6f1):闇|9|龍撃態勢・闇|影龍の片鱗|50(150)|
|1899|[[シャドウドラゴンナイト>モンスター図鑑/1899]]	|5|ドラゴン|BGCOLOR(#bba6f1):闇闇|14|龍撃態勢・闇|影龍の紋章|99(300)|
|1900|[[曲芸士>モンスター図鑑/1900]]	|5|悪魔|BGCOLOR(#bba6f1):闇|13|スマイル|キャッチ|50(400)|
|1901&aname(no1901);|[[最強装備・曲芸士>モンスター図鑑/1901]]	|6|悪魔|BGCOLOR(#bba6f1):闇火|19|スマイル|キャッチ|99(400)|
|1902|[[究極装備・シーフ>モンスター図鑑/1902]]	|7|バランス/悪魔|BGCOLOR(#bbf1a6):木闇|29|みかわし|コインを盗む|99(400)|
|1903|[[究極装備・時魔道士>モンスター図鑑/1903]]	|7|回復/神|BGCOLOR(#f1f1a6):光光|29|スロウ|ヘイスジャ|99(400)|
|1904|[[究極装備・狩人>モンスター図鑑/1904]]	|6|攻撃/悪魔|BGCOLOR(#f1bba6):火闇|25|サイドワインダー|狩りコンボ・改|99(300)|
|1905|[[究極装備・からくり士>モンスター図鑑/1905]]	|7|回復|BGCOLOR(#a6f1f1):水水|29|虹色の磁石|リジェネーター・改|99(400)|
|1906|[[究極装備・フェンサー>モンスター図鑑/1906]]	|6|バランス|BGCOLOR(#bba6f1):闇闇|25|見切り|突貫コンボ・改|99(300)|
|1907|[[天獄召喚・バハムートヘルヘブン>モンスター図鑑/1907]]	|7|ドラゴン/悪魔|BGCOLOR(#bba6f1):闇光|60|メガフレア|竜王の憤怒|99(400)|
|1908|[[レッドマテリアル>モンスター図鑑/1908]]	|3|強化用|BGCOLOR(#f1bba6):火|1|いかりのいちげき|なし|1|
|1909|[[ブルーマテリアル>モンスター図鑑/1909]]	|3|強化用|BGCOLOR(#a6f1f1):水|1|ジャンプ|なし|1|
|1910|[[グリーンマテリアル>モンスター図鑑/1910]]	|3|強化用|BGCOLOR(#bbf1a6):木|1|ためる|なし|1|
|1911|[[イエローマテリアル>モンスター図鑑/1911]]	|3|強化用|BGCOLOR(#f1f1a6):光|1|みやぶる|なし|1|
|1912|[[パープルマテリアル>モンスター図鑑/1912]]	|3|強化用|BGCOLOR(#bba6f1):闇|1|見切り|なし|1|
|1913|[[ブラックマテリアル>モンスター図鑑/1913]]	|3|強化用|BGCOLOR(#bba6f1):闇|1|ブリザガ|なし|1|
|1914|[[フィレム>モンスター図鑑/1914]]	|5|ドラゴン|BGCOLOR(#f1f1a6):光|10|オーバーリフレクション|なし|15(300)|
|1915|[[鏡界の守護者・フィレム>モンスター図鑑/1915]]	|6|ドラゴン/悪魔|BGCOLOR(#f1f1a6):光闇|20|オーバーリフレクション|鏡界の掟|99(400)|
|1916|[[音楽龍・レジェロンテ>モンスター図鑑/1916]]	|5|ドラゴン/マシン|BGCOLOR(#a6f1f1):水水|20|フェルマータ|クレッシェンド|99(400)|
|1917|[[ハラペコ・ペコどら>モンスター図鑑/1917]]	|4|ドラゴン/回復|BGCOLOR(#f1bba6):火|10|ファイアスペル|ナカマ！ダイジ！|99(300)|
|1918|[[戦華の精霊・マンドレイク>モンスター図鑑/1918]]	|4|攻撃|BGCOLOR(#bbf1a6):木|10|ヘルファング|鼓舞の代償|99(300)|
|1919|[[轟炎龍・アームドティラノス>モンスター図鑑/1919]]	|6|ドラゴン/攻撃|BGCOLOR(#f1bba6):火水|15|マグマブレス|轟炎龍の勇魂|99(150)|
|1920|[[幻氷龍・ミラージュプレシオス>モンスター図鑑/1920]]	|6|ドラゴン/体力|BGCOLOR(#a6f1f1):水木|15|ブリザードブレス|幻氷龍の勇魂|99(150)|
|1921|[[猛花龍・ハウルブラキオス>モンスター図鑑/1921]]	|6|ドラゴン/バランス|BGCOLOR(#bbf1a6):木火|15|ガイアブレス|猛花龍の勇魂|99(150)|
|1922|[[ゼウス＆ヘラ>モンスター図鑑/1922]]	|7|神/悪魔|BGCOLOR(#f1f1a6):光闇|50|ゴッドグラビティ|パワー・オブ・ラヴ|99(600)|
|1923|[[相思の天界神・ゼウス＆ヘラ>モンスター図鑑/1923]]	|8|神/悪魔|BGCOLOR(#f1f1a6):光闇|60|ゴッドグラビティ|ソウル・オブ・ラヴ|99(600)|
|1924|[[怪盗キッド>モンスター図鑑/1924]]	|5|バランス|BGCOLOR(#f1f1a6):光闇|10|IT'S A SHOW TIME!|LADIES & GENTLEMEN|99(300)|
|1925|[[魔槍の秘術神・オーディン>モンスター図鑑/1925]]	|8|神/体力|BGCOLOR(#a6f1f1):水闇|60|魔槍グングニール|グレイス・オブ・ミーミル|99(400)|
|1926|[[破天の雷霆龍・インドラ>モンスター図鑑/1926]]	|7|ドラゴン/バランス|BGCOLOR(#f1f1a6):光光|40|英龍の守り|雷霆龍の秘技|99(400)|
|1927|[[深獄の暗黒龍・ヴリトラ>モンスター図鑑/1927]]	|7|ドラゴン/悪魔|BGCOLOR(#bba6f1):闇闇|40|恨みの一撃|暗黒龍の滅気|99(400)|
|1928|[[覚醒ヴィーナス>モンスター図鑑/1928]]	|7|悪魔/回復|BGCOLOR(#f1f1a6):光水|30|ビューティフル・ワールド|愛縁の神魔力|99(400)|
|1929|[[まめティラ>モンスター図鑑/1929]]	|1|ドラゴン|BGCOLOR(#f1bba6):火|1|プチヒートブレス|なし|5(150)|
|1930|[[まめプレシィ>モンスター図鑑/1930]]	|1|ドラゴン|BGCOLOR(#a6f1f1):水|1|プチコールドブレス|なし|5(150)|
|1931|[[まめブラッキィ>モンスター図鑑/1931]]	|1|ドラゴン|BGCOLOR(#bbf1a6):木|1|プチウィンドブレス|なし|5(150)|
|1932|[[ミニへら>モンスター図鑑/1932]]	|3|神|BGCOLOR(#bba6f1):闇|5|ギガグラビティ|なし|15(400)|
|1933|[[覚醒・ミニへら>モンスター図鑑/1933]]	|4|悪魔/神|BGCOLOR(#bba6f1):闇|15|ギガグラビティ|かみのいって|99(400)|
|1934|[[ミニぷらん>モンスター図鑑/1934]]	|3|ドラゴン|BGCOLOR(#bbf1a6):木|5|フリーズバースト|なし|15(100)|
|1935|[[覚醒・ミニぷらん>モンスター図鑑/1935]]	|4|ドラゴン|BGCOLOR(#a6f1f1):水木|15|フリーズバースト|りゅうきのいのり|99(400)|
|1936|[[カピバラさんとホワイトさん>モンスター図鑑/1936]]	|5|体力/回復|BGCOLOR(#bbf1a6):木水|20|スタイルチェンジ・水|ぱずどら～んあたっく|99(300)|
|1937|[[最強戦士・超ベジット>モンスター図鑑/1937]]	|8|攻撃/ドラゴン|BGCOLOR(#f1bba6):火闇|40|超ベジットソード|出させてくれよ…本気を|99(400)|
|1938|[[超サイヤ人3・ゴテンクス>モンスター図鑑/1938]]	|7|攻撃/ドラゴン|BGCOLOR(#a6f1f1):水火|34|SGカミカゼアタック|終わりにしてやるぜ!!|99(400)|
|1939|[[パーフェクトセル>モンスター図鑑/1939]]	|8|悪魔/ドラゴン|BGCOLOR(#bbf1a6):木闇|33|超級かめはめ波|地球ごと消えてなくなれ!!|99(400)|
|1940|[[ウーブ>モンスター図鑑/1940]]	|5|攻撃/ドラゴン|BGCOLOR(#f1f1a6):光|14|があっ!!!!!|うんこたれじゃないーっ!!!!|50(400)|
|1941|[[南の島の少年・ウーブ>モンスター図鑑/1941]]	|6|攻撃/ドラゴン|BGCOLOR(#f1f1a6):光火|24|があっ!!!!!|うんこたれじゃないーっ!!!!|99(400)|
|1942|[[帰ってきたサイヤ人・ベジータ>モンスター図鑑/1942]]	|5|攻撃/ドラゴン|BGCOLOR(#bba6f1):闇光|14|ファイナルフラッシュ|いいんだろこれで!!!|99(400)|
|1943|[[ブウチョコ>モンスター図鑑/1943]]	|4|強化用|BGCOLOR(#f1f1a6):光|1|があっ!!!!!|なし|1|
|1944|[[かぐや姫>モンスター図鑑/1944]]	|6|回復|BGCOLOR(#bbf1a6):木|20|月花爛漫|翠竹の舞風|50(400)|
|1945|[[竹取の翠月花・かぐや姫>モンスター図鑑/1945]]	|7|回復/神|BGCOLOR(#bbf1a6):木光|30|月花爛漫|翠竹の舞風|99(400)|
|1946|[[赤龍契士・ガディウス>モンスター図鑑/1946]]	|5|ドラゴン|BGCOLOR(#f1bba6):火|30|サンライズゾーン|継界龍合・セディン|50(500)|
|1947|[[浄雷の赤龍契士・ガディウス>モンスター図鑑/1947]]	|6|ドラゴン/回復|BGCOLOR(#f1bba6):火光|50|サンライズゾーン|継界龍合・セディン|99(500)|
|1948|[[黒龍契士・ティフォン>モンスター図鑑/1948]]	|6|ドラゴン|BGCOLOR(#bba6f1):闇|40|サンセットゾーン|継界龍合・ドルヴァ|50(500)|
|1949|[[滅雷の黒龍契士・ティフォン>モンスター図鑑/1949]]	|7|ドラゴン/バランス|BGCOLOR(#bba6f1):闇水|60|サンセットゾーン|継界龍合・ドルヴァ|99(500)|
|1950|[[白獣魔・イルム>モンスター図鑑/1950]]	|6|悪魔|BGCOLOR(#f1f1a6):光火|40|グリモワールスフィア|魔導への執心|50(500)|
|1951|[[創書の白幻魔・イルム>モンスター図鑑/1951]]	|7|悪魔/攻撃|BGCOLOR(#f1f1a6):光火|60|グリモワールスフィア|魔導への執心|99(500)|
|1952|[[黒獣魔・ズオー>モンスター図鑑/1952]]	|5|悪魔|BGCOLOR(#bba6f1):闇木|30|カオティックコール|奈落の渇望|50(500)|
|1953|[[憤激の黒幻魔・ズオー>モンスター図鑑/1953]]	|6|悪魔/体力|BGCOLOR(#bba6f1):闇木|50|カオティックコール|奈落の渇望|99(500)|
|1954|[[覚醒シヴァ>モンスター図鑑/1954]]	|7|攻撃/悪魔|BGCOLOR(#f1bba6):火火|35|爆滅の三眼|破壊神の天力|99(400)|
|1955|[[覚醒ラクシュミー>モンスター図鑑/1955]]	|7|体力/神|BGCOLOR(#a6f1f1):水水|35|命水の蓮華|幸運神の天力|99(400)|
|1956|[[覚醒パールヴァティー>モンスター図鑑/1956]]	|7|バランス/悪魔|BGCOLOR(#bbf1a6):木木|35|心癒の山風|金色神の天力|99(400)|
|1957|[[火の猫龍・シマニャドラ>モンスター図鑑/1957]]	|5|ドラゴン|BGCOLOR(#f1bba6):火|12|スタイルチェンジ・水|キャットソウル・火|99(400)|
|1958|[[水の猫龍・ロシニャドラ>モンスター図鑑/1958]]	|5|ドラゴン|BGCOLOR(#a6f1f1):水|12|スタイルチェンジ・木|キャットソウル・水|99(400)|
|1959|[[木の猫龍・ミケニャドラ>モンスター図鑑/1959]]	|5|ドラゴン|BGCOLOR(#bbf1a6):木|12|スタイルチェンジ・火|キャットソウル・木|99(400)|
|1960|[[光の猫龍・ペルニャドラ>モンスター図鑑/1960]]	|5|ドラゴン|BGCOLOR(#f1f1a6):光|12|龍心解放の経文|キャットソウル・光|99(400)|
