* 進化合成 [#ze6474f1]

#style(class=panelNote){{
このページは編集者不足による更新停止中です。
//ちなみに編集は誰でも行うことが可能です･･･。
}}

- 一部モンスターはLv最大になると進化が可能になる
- 進化するためにはそれぞれ決められた素材モンスターが必要
-- 「爆炎龍ティラノス」に進化するのに必要なモンスターは「ティラノス」の欄を参照
-- 「なし」はこれ以上進化しないということ

//外部サイトのリンクは[[リンク]]へ

&color(,#eee){ページ内リンク};
[[001>#no001]] - [[101>#no101]] - [[201>#no201]] - [[301>#no301]] - [[401>#no401]] - [[501>#no501]] - [[601>#no601]] - [[701>#no701]] - [[801>#no801]] - [[901>#no901]] - [[1001>#no1001]] - [[1101>#no1101]] - [[1201>#no1201]] - [[1301>#no1301]] - [[1401>#no1401]] - [[1501>#no1501]] - [[1601>#no1601]] - [[1701>#no1701]] - [[1801>#no1801]] - [[1901>#no1901]] - [[2001>#no2001]] - [[2101>#no2101]] - [[2201>#no2201]] - [[2301>#no2301]]

#style(class=enableFilter){{
|~No|~ベースモンスター		|~進化に必要なモンスター|~進化結果|
|1769|[[マグコーン>モンスター図鑑/1769]]	|なし||
|1770|[[マグカフィ>モンスター図鑑/1770]]	|なし||
|1771|[[カルドン>モンスター図鑑/1771]]	|&mons147; &mons166; &mons155;|[[炎の丼魔・カルドン>モンスター図鑑/1772]]|
|1772|[[炎の丼魔・カルドン>モンスター図鑑/1772]]	|なし||
|1773|[[ツナドン>モンスター図鑑/1773]]	|&mons148; &mons167; &mons156;|[[海の丼魔・ツナドン>モンスター図鑑/1774]]|
|1774|[[海の丼魔・ツナドン>モンスター図鑑/1774]]	|なし||
|1775|[[ソイドン>モンスター図鑑/1775]]	|&mons149; &mons168; &mons157;|[[地の丼魔・ソイドン>モンスター図鑑/1776]]|
|1776|[[地の丼魔・ソイドン>モンスター図鑑/1776]]	|なし||
|1777|[[トリドン>モンスター図鑑/1777]]	|&mons150; &mons169; &mons158;|[[金の丼魔・トリドン>モンスター図鑑/1778]]|
|1778|[[金の丼魔・トリドン>モンスター図鑑/1778]]	|なし||
|1779|[[スキドン>モンスター図鑑/1779]]	|&mons151; &mons170; &mons159;|[[紫の丼魔・スキドン>モンスター図鑑/1780]]|
|1780|[[紫の丼魔・スキドン>モンスター図鑑/1780]]	|なし||
|1781|[[聖夜のサンタクロース・ヘラ>モンスター図鑑/1781]]	|なし||
|1782|[[聖夜の神精霊・ジーニャ>モンスター図鑑/1782]]	|なし||
|1783|[[聖夜の麒麟姫・サクヤ>モンスター図鑑/1783]]	|なし||
|1784|[[月光牙の魔女・ミニりりす>モンスター図鑑/1784]]	|なし||
|1785|[[薔薇戦姫・ミニぐれいすばるきりー>モンスター図鑑/1785]]	|[[究極進化]]||
|1786|[[朱雀の化身・ミニれいらん>モンスター図鑑/1786]]	|なし||
|1787|[[青龍の化身・ミニかりん>モンスター図鑑/1787]]	|なし||
|1788|[[玄武の化身・ミニめいめい>モンスター図鑑/1788]]	|なし||
|1789|[[麒麟の化身・ミニさくや>モンスター図鑑/1789]]	|なし||
|1790|[[白虎の化身・ミニはく>モンスター図鑑/1790]]	|なし||
|1791|[[夜刻武神・ミニつくよみ>モンスター図鑑/1791]]	|なし||
|1792|[[神書の管理者・ミニめたとろん>モンスター図鑑/1792]]	|なし||
|1793|[[現世の赤龍喚士・ミニそにあ>モンスター図鑑/1793]]	|[[究極進化]]||
|1794|[[反逆の熾天使・ミニるしふぁー>モンスター図鑑/1794]]	|なし||
|1795|[[ナッパ>モンスター図鑑/1795]]	|&mons150; &mons169; &mons174; &mons159; &mons160;|[[サイヤ人・ナッパ>モンスター図鑑/1796]]|
|1796|[[サイヤ人・ナッパ>モンスター図鑑/1796]]	|なし||
|1797|[[ラディッツ>モンスター図鑑/1797]]	|&mons151; &mons170; &mons175; &mons155; &mons160;|[[サイヤ人・ラディッツ>モンスター図鑑/1798]]|
|1798|[[サイヤ人・ラディッツ>モンスター図鑑/1798]]	|なし||
|1799|[[ビーデル>モンスター図鑑/1799]]	|&mons147; &mons171; &mons155; &mons157; &mons160;|[[サタンの娘・ビーデル>モンスター図鑑/1800]]|
|1800|[[サタンの娘・ビーデル>モンスター図鑑/1800]]	|なし||
|1801&aname(no1801);|[[ゴテンクス>モンスター図鑑/1801]]	|&mons148; &mons147; &mons172; &mons171; &mons251;|[[超サイヤ人・ゴテンクス>モンスター図鑑/1802]]|
|1802|[[超サイヤ人・ゴテンクス>モンスター図鑑/1802]]	|[[究極進化]]||
|1803|[[デンデ＆ポルンガ>モンスター図鑑/1803]]	|なし||
|1804|[[ブルマ>モンスター図鑑/1804]]	|なし||
|1805|[[ドラゴンボール・一星球>モンスター図鑑/1805]]	|なし||
|1806|[[ドラゴンボール・三星球>モンスター図鑑/1806]]	|なし||
|1807|[[ドラゴンボール・四星球>モンスター図鑑/1807]]	|なし||
|1808|[[ドラゴンボール・六星球>モンスター図鑑/1808]]	|なし||
|1809|[[ドラゴンボール・七星球>モンスター図鑑/1809]]	|なし||
|1810|[[ドラゴンボール・二星球＆五星球>モンスター図鑑/1810]]	|&mons1805; &mons1806; &mons1807; &mons1808; &mons1809;|[[デンデ＆ポルンガ>モンスター図鑑/1803]]|
|1811|[[ミニ曹操>モンスター図鑑/1811]]	|&mons147; &mons227; &mons246; &mons246; &mons160;|[[求覇の武王神・ミニ曹操>モンスター図鑑/1812]]|
|1812|[[求覇の武王神・ミニ曹操>モンスター図鑑/1812]]	|なし||
|1813|[[ミニ孫権>モンスター図鑑/1813]]	|&mons148; &mons227; &mons247; &mons247; &mons160;|[[秘勇の将軍神・ミニ孫権>モンスター図鑑/1814]]|
|1814|[[秘勇の将軍神・ミニ孫権>モンスター図鑑/1814]]	|なし||
|1815|[[ミニ劉備>モンスター図鑑/1815]]	|&mons149; &mons227; &mons248; &mons248; &mons160;|[[明徳の英傑神・ミニ劉備>モンスター図鑑/1816]]|
|1816|[[明徳の英傑神・ミニ劉備>モンスター図鑑/1816]]	|なし||
|1817|[[ミニ大喬＆小喬>モンスター図鑑/1817]]	|&mons150; &mons227; &mons249; &mons247; &mons160;|[[凛聖の双華神・ミニ大喬＆小喬>モンスター図鑑/1818]]|
|1818|[[凛聖の双華神・ミニ大喬＆小喬>モンスター図鑑/1818]]	|なし||
|1819|[[ミニ呂布>モンスター図鑑/1819]]	|&mons151; &mons227; &mons250; &mons250; &mons160;|[[羅刹の飛将神・ミニ呂布>モンスター図鑑/1820]]|
|1820|[[羅刹の飛将神・ミニ呂布>モンスター図鑑/1820]]	|なし||
|1821|[[忠義神・ミニ関羽>モンスター図鑑/1821]]	|&mons147; &mons321; &mons227; &mons250; &mons251;|[[奮起の忠義神・ミニ関羽>モンスター図鑑/1822]]|
|1822|[[奮起の忠義神・ミニ関羽>モンスター図鑑/1822]]	|なし||
|1823|[[命龍神・ミニ諸葛亮>モンスター図鑑/1823]]	|&mons150; &mons227; &mons249; &mons247; &mons251;|[[天星の命龍神・ミニ諸葛亮>モンスター図鑑/1824]]|
|1824|[[天星の命龍神・ミニ諸葛亮>モンスター図鑑/1824]]	|なし||
|1825|[[I LOVE デビベア>モンスター図鑑/1825]]	|なし||
|1826|[[紅天使・ロズエル>モンスター図鑑/1826]]	|&mons147; &mons171; &mons246; &mons247; &mons251;|[[紅翼の星天使・ロズエル>モンスター図鑑/1827]]|
|1827|[[紅翼の星天使・ロズエル>モンスター図鑑/1827]]	|なし||
|1828|[[蒼天使・ファミエル>モンスター図鑑/1828]]	|&mons148; &mons172; &mons247; &mons249; &mons251;|[[蒼翼の星天使・ファミエル>モンスター図鑑/1829]]|
|1829|[[蒼翼の星天使・ファミエル>モンスター図鑑/1829]]	|なし||
|1830|[[翠天使・リュエル>モンスター図鑑/1830]]	|&mons149; &mons173; &mons248; &mons250; &mons251;|[[翠翼の星天使・リュエル>モンスター図鑑/1831]]|
|1831|[[翠翼の星天使・リュエル>モンスター図鑑/1831]]	|なし||
|1832|[[聖天使・アリエル>モンスター図鑑/1832]]	|&mons150; &mons174; &mons249; &mons246; &mons251;|[[聖翼の星天使・アリエル>モンスター図鑑/1833]]|
|1833|[[聖翼の星天使・アリエル>モンスター図鑑/1833]]	|なし||
|1834|[[魔天使・ルミエル>モンスター図鑑/1834]]	|&mons151; &mons175; &mons250; &mons247; &mons251;|[[魔翼の星天使・ルミエル>モンスター図鑑/1835]]|
|1835|[[魔翼の星天使・ルミエル>モンスター図鑑/1835]]	|なし||
|1836|[[メジェドラ>モンスター図鑑/1836]]	|&mons149; &mons149; &mons173; &mons246; &mons251;|[[冥穣の守護神・メジェドラ>モンスター図鑑/1837]]|
|1837|[[冥穣の守護神・メジェドラ>モンスター図鑑/1837]]	|なし||
|1838|[[?>モンスター図鑑/1838]]	|||
|1839|[[?>モンスター図鑑/1839]]	|||
|1840|[[?>モンスター図鑑/1840]]	|||
|1841|[[?>モンスター図鑑/1841]]	|||
|1842|[[?>モンスター図鑑/1842]]	|||
|1843|[[?>モンスター図鑑/1843]]	|||
|1844|[[騎龍王・ノルディス>モンスター図鑑/1844]]	|[[究極進化]]||
|1845|[[解放の騎龍王・ノルディス>モンスター図鑑/1845]]	|なし||
|1846|[[幻龍王・ゼローグ∞>モンスター図鑑/1846]]	|[[究極進化]]||
|1847|[[黒天の幻龍王・ゼローグ∞>モンスター図鑑/1847]]	|なし||
|1848|[[密命の天使・イーリア>モンスター図鑑/1848]]	|なし||
|1849|[[忘却の死神・グリザル>モンスター図鑑/1849]]	|なし||
|1850|[[ジャギ>モンスター図鑑/1850]]	|&mons159; &mons159; &mons250;|[[暴虐の徒・ジャギ>モンスター図鑑/1851]]|
|1851|[[暴虐の徒・ジャギ>モンスター図鑑/1851]]	|なし||
|1852|[[アミバ>モンスター図鑑/1852]]	|&mons148; &mons159; &mons159;|[[偽りの北斗神拳・アミバ>モンスター図鑑/1853]]|
|1853|[[偽りの北斗神拳・アミバ>モンスター図鑑/1853]]	|なし||
|1854|[[ウイグル>モンスター図鑑/1854]]	|&mons165; &mons165; &mons175;|[[獄長・ウイグル>モンスター図鑑/1855]]|
|1855|[[獄長・ウイグル>モンスター図鑑/1855]]	|なし||
|1856|[[拳王・ラオウ>モンスター図鑑/1856]]	|&mons151; &mons175; &mons250; &mons246; &mons251;|[[世紀末覇者・ラオウ>モンスター図鑑/1857]]|
|1857|[[世紀末覇者・ラオウ>モンスター図鑑/1857]]	|なし||
|1858|[[ラオウ>モンスター図鑑/1858]]	|&mons147; &mons151; &mons246; &mons250; &mons251;|[[天の覇者・ラオウ>モンスター図鑑/1859]]|
|1859|[[天の覇者・ラオウ>モンスター図鑑/1859]]	|なし||
|1860|[[ケンシロウ>モンスター図鑑/1860]]	|&mons147; &mons174; &mons246; &mons249; &mons251;|[[北斗神拳・ケンシロウ>モンスター図鑑/1861]]|
|1861|[[北斗神拳・ケンシロウ>モンスター図鑑/1861]]	|なし||
|1862|[[トキ>モンスター図鑑/1862]]	|&mons148; &mons172; &mons247; &mons249; &mons251;|[[柔の拳・トキ>モンスター図鑑/1863]]|
|1863|[[柔の拳・トキ>モンスター図鑑/1863]]	|なし||
|1864|[[シン>モンスター図鑑/1864]]	|&mons150; &mons169; &mons158; &mons159; &mons160;|[[南斗聖拳・シン>モンスター図鑑/1865]]|
|1865|[[南斗聖拳・シン>モンスター図鑑/1865]]	|なし||
|1866|[[レイ>モンスター図鑑/1866]]	|&mons148; &mons167; &mons156; &mons158; &mons160;|[[南斗水鳥拳・レイ>モンスター図鑑/1867]]|
|1867|[[南斗水鳥拳・レイ>モンスター図鑑/1867]]	|なし||
|1868|[[ユダ>モンスター図鑑/1868]]	|&mons149; &mons168; &mons157; &mons159; &mons160;|[[南斗紅鶴拳・ユダ>モンスター図鑑/1869]]|
|1869|[[南斗紅鶴拳・ユダ>モンスター図鑑/1869]]	|なし||
|1870|[[シュウ>モンスター図鑑/1870]]	|&mons149; &mons168; &mons168; &mons158; &mons160;|[[南斗白鷺拳・シュウ>モンスター図鑑/1871]]|
|1871|[[南斗白鷺拳・シュウ>モンスター図鑑/1871]]	|なし||
|1872|[[サウザー>モンスター図鑑/1872]]	|&mons150; &mons174; &mons158; &mons159; &mons160;|[[聖帝・サウザー>モンスター図鑑/1873]]|
|1873|[[聖帝・サウザー>モンスター図鑑/1873]]	|なし||
|1874|[[マミヤ>モンスター図鑑/1874]]	|&mons147; &mons166; &mons155; &mons158; &mons160;|[[秘愛の女戦士・マミヤ>モンスター図鑑/1875]]|
|1875|[[秘愛の女戦士・マミヤ>モンスター図鑑/1875]]	|なし||
|1876|[[ミニ趙雲>モンスター図鑑/1876]]	|&mons149; &mons173; &mons227; &mons249; &mons160;|[[龍威の勇将軍・ミニ趙雲>モンスター図鑑/1877]]|
|1877|[[龍威の勇将軍・ミニ趙雲>モンスター図鑑/1877]]	|なし||
|1878|[[ディアゴルドス>モンスター図鑑/1878]]	|&mons321; &mons227; &mons246; &mons249; &mons251;|[[重装剣龍・ディアゴルドス>モンスター図鑑/1879]]|
|1879|[[重装剣龍・ディアゴルドス>モンスター図鑑/1879]]	|なし||
|1880|[[富山湾の絶対王者・寒ブリ>モンスター図鑑/1880]]	|なし||
|1881|[[双曲剣の勇士・ショーテル>モンスター図鑑/1881]]	|なし||
|1882|[[両刃剣の勇士・クレイモア>モンスター図鑑/1882]]	|なし||
|1883|[[無銘刀の勇士・正宗>モンスター図鑑/1883]]	|なし||
|1884|[[曲刃剣の勇士・コピス>モンスター図鑑/1884]]	|なし||
|1885|[[巨重剣の勇士・ツヴァイハンダー>モンスター図鑑/1885]]	|なし||
|1886|[[紅蓮華飛速・エキドナロココ>モンスター図鑑/1886]]	|なし||
|1887|[[幸七羽毛・ヘッドロココ>モンスター図鑑/1887]]	|なし||
|1888|[[神王妃・ヘラマリア>モンスター図鑑/1888]]	|なし||
|1889|[[6聖球・サタンマリア>モンスター図鑑/1889]]	|なし||
|1890|[[たまドラゼウス>モンスター図鑑/1890]]	|なし||
|1891|[[ラオウちびドラ>モンスター図鑑/1891]]	|なし||
|1892|[[?>モンスター図鑑/1892]]	|||
|1893|[[?>モンスター図鑑/1893]]	|||
|1894|[[?>モンスター図鑑/1894]]	|||
|1895|[[?>モンスター図鑑/1895]]	|||
|1896|[[地の龍剣士>モンスター図鑑/1896]]	|&mons149; &mons173; &mons154; &mons227; &mons157;|[[アースドラゴンナイト>モンスター図鑑/1897]]|
|1897|[[アースドラゴンナイト>モンスター図鑑/1897]]	|なし||
|1898|[[闇の龍剣士>モンスター図鑑/1898]]	|&mons151; &mons175; &mons154; &mons227; &mons159;|[[シャドウドラゴンナイト>モンスター図鑑/1899]]|
|1899|[[シャドウドラゴンナイト>モンスター図鑑/1899]]	|なし||
|1900|[[曲芸士>モンスター図鑑/1900]]	|&mons151; &mons321; &mons171; &mons159; &mons160;|[[最強装備・曲芸士>モンスター図鑑/1901]]|
|1901&aname(no1901);|[[最強装備・曲芸士>モンスター図鑑/1901]]	|なし||
|1902|[[究極装備・シーフ>モンスター図鑑/1902]]	|なし||
|1903|[[究極装備・時魔道士>モンスター図鑑/1903]]	|なし||
|1904|[[究極装備・狩人>モンスター図鑑/1904]]	|なし||
|1905|[[究極装備・からくり士>モンスター図鑑/1905]]	|なし||
|1906|[[究極装備・フェンサー>モンスター図鑑/1906]]	|なし||
|1907|[[天獄召喚・バハムートヘルヘブン>モンスター図鑑/1907]]	|なし||
|1908|[[レッドマテリアル>モンスター図鑑/1908]]	|なし||
|1909|[[ブルーマテリアル>モンスター図鑑/1909]]	|なし||
|1910|[[グリーンマテリアル>モンスター図鑑/1910]]	|なし||
|1911|[[イエローマテリアル>モンスター図鑑/1911]]	|なし||
|1912|[[パープルマテリアル>モンスター図鑑/1912]]	|なし||
|1913|[[ブラックマテリアル>モンスター図鑑/1913]]	|なし||
|1914|[[フィレム>モンスター図鑑/1914]]	|&mons150; &mons174; &mons158; &mons159; &mons160;|[[鏡界の守護者・フィレム>モンスター図鑑/1915]]|
|1915|[[鏡界の守護者・フィレム>モンスター図鑑/1915]]	|なし||
|1916|[[音楽龍・レジェロンテ>モンスター図鑑/1916]]	|なし||
|1917|[[ハラペコ・ペコどら>モンスター図鑑/1917]]	|なし||
|1918|[[戦華の精霊・マンドレイク>モンスター図鑑/1918]]	|なし||
|1919|[[轟炎龍・アームドティラノス>モンスター図鑑/1919]]	|なし||
|1920|[[幻氷龍・ミラージュプレシオス>モンスター図鑑/1920]]	|なし||
|1921|[[猛花龍・ハウルブラキオス>モンスター図鑑/1921]]	|なし||
|1922|[[ゼウス＆ヘラ>モンスター図鑑/1922]]	|[[究極進化]]||
|1923|[[相思の天界神・ゼウス＆ヘラ>モンスター図鑑/1923]]	|なし||
|1924|[[怪盗キッド>モンスター図鑑/1924]]	|なし||
|1925|[[魔槍の秘術神・オーディン>モンスター図鑑/1925]]	|なし||
|1926|[[破天の雷霆龍・インドラ>モンスター図鑑/1926]]	|なし||
|1927|[[深獄の暗黒龍・ヴリトラ>モンスター図鑑/1927]]	|なし||
|1928|[[覚醒ヴィーナス>モンスター図鑑/1928]]	|なし||
|1929|[[まめティラ>モンスター図鑑/1929]]	|&mons152;|[[ティラ>モンスター図鑑/0001]]|
|1930|[[まめプレシィ>モンスター図鑑/1930]]	|&mons152;|[[プレシィ>モンスター図鑑/0005]]|
|1931|[[まめブラッキィ>モンスター図鑑/1931]]	|&mons152;|[[ブラッキィ>モンスター図鑑/0009]]|
|1932|[[ミニへら>モンスター図鑑/1932]]	|&mons177; &mons151; &mons165; &mons175; &mons160;|[[覚醒・ミニへら>モンスター図鑑/1933]]|
|1933|[[覚醒・ミニへら>モンスター図鑑/1933]]	|なし||
|1934|[[ミニぷらん>モンスター図鑑/1934]]	|&mons153; &mons154; &mons156; &mons157; &mons160;|[[覚醒・ミニぷらん>モンスター図鑑/1935]]|
|1935|[[覚醒・ミニぷらん>モンスター図鑑/1935]]	|なし||
|1936|[[カピバラさんとホワイトさん>モンスター図鑑/1936]]	|なし||
|1937|[[最強戦士・超ベジット>モンスター図鑑/1937]]	|なし||
|1938|[[超サイヤ人3・ゴテンクス>モンスター図鑑/1938]]	|なし||
|1939|[[パーフェクトセル>モンスター図鑑/1939]]	|なし||
|1940|[[ウーブ>モンスター図鑑/1940]]	|&mons150; &mons174; &mons249; &mons246; &mons251;|[[南の島の少年・ウーブ>モンスター図鑑/1941]]|
|1941|[[南の島の少年・ウーブ>モンスター図鑑/1941]]	|なし||
|1942|[[帰ってきたサイヤ人・ベジータ>モンスター図鑑/1942]]	|なし||
|1943|[[ブウチョコ>モンスター図鑑/1943]]	|なし||
|1944|[[かぐや姫>モンスター図鑑/1944]]	|&mons149; &mons150; &mons173; &mons249; &mons251;|[[竹取の翠月花・かぐや姫>モンスター図鑑/1945]]|
|1945|[[竹取の翠月花・かぐや姫>モンスター図鑑/1945]]	|なし||
|1946|[[赤龍契士・ガディウス>モンスター図鑑/1946]]	|&mons147; &mons321; &mons171; &mons249; &mons251;|[[浄雷の赤龍契士・ガディウス>モンスター図鑑/1947]]|
|1947|[[浄雷の赤龍契士・ガディウス>モンスター図鑑/1947]]	|なし||
|1948|[[黒龍契士・ティフォン>モンスター図鑑/1948]]	|&mons151; &mons321; &mons175; &mons247; &mons251;|[[滅雷の黒龍契士・ティフォン>モンスター図鑑/1949]]|
|1949|[[滅雷の黒龍契士・ティフォン>モンスター図鑑/1949]]	|なし||
|1950|[[白獣魔・イルム>モンスター図鑑/1950]]	|&mons150; &mons321; &mons174; &mons246; &mons251;|[[創書の白幻魔・イルム>モンスター図鑑/1951]]|
|1951|[[創書の白幻魔・イルム>モンスター図鑑/1951]]	|なし||
|1952|[[黒獣魔・ズオー>モンスター図鑑/1952]]	|&mons151; &mons321; &mons175; &mons248; &mons251;|[[憤激の黒幻魔・ズオー>モンスター図鑑/1953]]|
|1953|[[憤激の黒幻魔・ズオー>モンスター図鑑/1953]]	|なし||
|1954|[[覚醒シヴァ>モンスター図鑑/1954]]	|なし||
|1955|[[覚醒ラクシュミー>モンスター図鑑/1955]]	|なし||
|1956|[[覚醒パールヴァティー>モンスター図鑑/1956]]	|なし||
|1957|[[火の猫龍・シマニャドラ>モンスター図鑑/1957]]	|なし||
|1958|[[水の猫龍・ロシニャドラ>モンスター図鑑/1958]]	|なし||
|1959|[[木の猫龍・ミケニャドラ>モンスター図鑑/1959]]	|なし||
|1960|[[光の猫龍・ペルニャドラ>モンスター図鑑/1960]]	|なし||
|1961|[[闇の猫龍・クロニャドラ>モンスター図鑑/1961]]	|なし||
|1962|[[アカデビニャン>モンスター図鑑/1962]]	|なし||
|1963|[[アオデビニャン>モンスター図鑑/1963]]	|なし||
|1964|[[ミドリデビニャン>モンスター図鑑/1964]]	|なし||
|1965|[[シロデビニャン>モンスター図鑑/1965]]	|なし||
|1966|[[クロデビニャン>モンスター図鑑/1966]]	|なし||
|1967|[[聖龍王サイガ アナザー>モンスター図鑑/1967]]	|&mons149; &mons173; &mons154; &mons249; &mons160;|[[光龍王サイガ アナザー>モンスター図鑑/1968]]|
|1968|[[光龍王サイガ アナザー>モンスター図鑑/1968]]	|[[究極進化]]||
|1969|[[神羅聖龍神サイガ アナザー>モンスター図鑑/1969]]	|なし||
|1970|[[魔戦姫アスモディエス アナザー>モンスター図鑑/1970]]	|&mons151; &mons175; &mons227; &mons250; &mons160;|[[幻魔王アスモ・デウス アナザー>モンスター図鑑/1971]]|
|1971|[[幻魔王アスモ・デウス アナザー>モンスター図鑑/1971]]	|[[究極進化]]||
|1972|[[炎鎚のキリコ アナザー>モンスター図鑑/1972]]	|&mons147; &mons171; &mons234; &mons249; &mons160;|[[光翼聖天キリコ アナザー>モンスター図鑑/1973]]|
|1973|[[光翼聖天キリコ アナザー>モンスター図鑑/1973]]	|なし||
|1974|[[神羅魔導神メビウス>モンスター図鑑/1974]]	|なし||
|1975|[[神羅聖魔神アーク>モンスター図鑑/1975]]	|なし||
|1976|[[神羅光龍神リュウガ>モンスター図鑑/1976]]	|なし||
|1977|[[神羅黄金神マキシウス>モンスター図鑑/1977]]	|なし||
|1978|[[神羅終極神カイ>モンスター図鑑/1978]]	|なし||
|1979|[[神羅魂獣神サイ>モンスター図鑑/1979]]	|なし||
|1980|[[神羅太陽神アポロ>モンスター図鑑/1980]]	|なし||
|1981|[[神羅聖龍神サイガ>モンスター図鑑/1981]]	|なし||
|1982|[[真城火牙刀>モンスター図鑑/1982]]	|&mons147; &mons166; &mons246; &mons246; &mons160;|[[烈火の火牙刀>モンスター図鑑/1983]]|
|1983|[[烈火の火牙刀>モンスター図鑑/1983]]	|[[究極進化]]||
|1984|[[水晶天子ヒカリ・天地>モンスター図鑑/1984]]	|&mons150; &mons158; &mons249; &mons249; &mons160;|[[水晶天子ヒカリ・一鬼>モンスター図鑑/1985]]|
|1985|[[水晶天子ヒカリ・一鬼>モンスター図鑑/1985]]	|なし||
|1986|[[フロギスト>モンスター図鑑/1986]]	|&mons147; &mons161; &mons166;|[[ベム・ギスト>モンスター図鑑/1987]]|
|1987|[[ベム・ギスト>モンスター図鑑/1987]]	|なし||
|1988|[[雪獣イエイエ>モンスター図鑑/1988]]	|&mons148; &mons167; &mons156;|[[ゴン・イエイエ>モンスター図鑑/1989]]|
|1989|[[ゴン・イエイエ>モンスター図鑑/1989]]	|なし||
|1990|[[ガードナー・ポーチカ>モンスター図鑑/1990]]	|&mons149; &mons152; &mons157;|[[ルル・ポーチカ>モンスター図鑑/1991]]|
|1991|[[ルル・ポーチカ>モンスター図鑑/1991]]	|なし||
|1992|[[ラード>モンスター図鑑/1992]]	|&mons151; &mons170; &mons159;|[[ヘル・ラード>モンスター図鑑/1993]]|
|1993|[[ヘル・ラード>モンスター図鑑/1993]]	|なし||
|1994|[[アスモディエス アナザー カード>モンスター図鑑/1994]]	|なし||
|1995|[[炎鎚のキリコ アナザー カード>モンスター図鑑/1995]]	|なし||
|1996|[[神羅魔導神メビウス カード>モンスター図鑑/1996]]	|なし||
|1997|[[神羅聖魔神アーク カード>モンスター図鑑/1997]]	|なし||
|1998|[[神羅光龍神リュウガ カード>モンスター図鑑/1998]]	|なし||
|1999|[[神羅黄金神マキシウス カード>モンスター図鑑/1999]]	|なし||
|2000|[[神羅終極神カイ カード>モンスター図鑑/2000]]	|なし||
|2001&aname(no2001);|[[神羅魂獣神サイ カード>モンスター図鑑/2001]]	|なし||
|2002|[[神羅太陽神アポロ カード>モンスター図鑑/2002]]	|なし||
|2003|[[神羅聖龍神サイガ カード>モンスター図鑑/2003]]	|なし||
|2004|[[ウエハーマンパパ>モンスター図鑑/2004]]	|なし||
|2005|[[世界一強いアメ玉>モンスター図鑑/2005]]	|なし||
|2006|[[天下御免の大泥棒・石川五右衛門>モンスター図鑑/2006]]	|なし||
|2007|[[スフィンクス>モンスター図鑑/2007]]	|&mons147; &mons321; &mons246; &mons249; &mons251;|[[覚醒スフィンクス>モンスター図鑑/2008]]|
|2008|[[覚醒スフィンクス>モンスター図鑑/2008]]	|なし||
|2009|[[覚醒ホルス>モンスター図鑑/2009]]	|なし||
|2010|[[覚醒イシス>モンスター図鑑/2010]]	|なし||
|2011|[[覚醒バステト>モンスター図鑑/2011]]	|なし||
|2012|[[覚醒ラー>モンスター図鑑/2012]]	|なし||
|2013|[[覚醒アヌビス>モンスター図鑑/2013]]	|なし||
|2014|[[生徒会長・ルシファー>モンスター図鑑/2014]]	|なし||
|2015|[[風紀委員長・アテナ>モンスター図鑑/2015]]	|[[究極進化]]||
|2016|[[学級委員長・アテナ>モンスター図鑑/2016]]	|なし||
|2017|[[特待生・イシス>モンスター図鑑/2017]]	|なし||
|2018|[[↑↑先輩・ヘラ・ウルズ>モンスター図鑑/2018]]	|なし||
|2019|[[剛腕番長・ギガンテス>モンスター図鑑/2019]]	|なし||
|2020|[[紅焔の舞巫女・ミニちよめ>モンスター図鑑/2020]]	|なし||
|2021|[[幻神・ミニおーでぃん>モンスター図鑑/2021]]	|なし||
|2022|[[ミニあまてらすおおかみ>モンスター図鑑/2022]]	|なし||
|2023|[[聖海神・ミニいしす>モンスター図鑑/2023]]	|なし||
|2024|[[ミニやまとたける>モンスター図鑑/2024]]	|なし||
|2025|[[ミニあんどろめだ>モンスター図鑑/2025]]	|なし||
|2026|[[ミニぺるせうす>モンスター図鑑/2026]]	|なし||
|2027|[[ミニそんごくう>モンスター図鑑/2027]]	|なし||
|2028|[[ミニぱんどら>モンスター図鑑/2028]]	|なし||
|2029|[[クラウド>モンスター図鑑/2029]]	|&mons150; &mons321; &mons174; &mons249; &mons251;|[[クラウド＆ハーディ＝デイトナ>モンスター図鑑/2030]]|
|2030|[[クラウド＆ハーディ＝デイトナ>モンスター図鑑/2030]]	|なし||
|2031|[[セフィロス>モンスター図鑑/2031]]	|&mons151; &mons321; &mons175; &mons250; &mons251;|[[堕ちた英雄・セフィロス>モンスター図鑑/2032]]|
|2032|[[堕ちた英雄・セフィロス>モンスター図鑑/2032]]	|なし||
|2033|[[スコール>モンスター図鑑/2033]]	|&mons147; &mons321; &mons171; &mons249; &mons251;|[[孤高の獅子・スコール>モンスター図鑑/2034]]|
|2034|[[孤高の獅子・スコール>モンスター図鑑/2034]]	|なし||
|2035|[[リノア>モンスター図鑑/2035]]	|&mons148; &mons321; &mons172; &mons247; &mons251;|[[魔女の継承者・リノア>モンスター図鑑/2036]]|
|2036|[[魔女の継承者・リノア>モンスター図鑑/2036]]	|なし||
|2037|[[ジタン>モンスター図鑑/2037]]	|&mons149; &mons321; &mons173; &mons249; &mons251;|[[トランス・ジタン>モンスター図鑑/2038]]|
|2038|[[トランス・ジタン>モンスター図鑑/2038]]	|なし||
