* リーダースキル [#e57a0767]

- リーダーと助っ人のモンスターのみ効果を発動する。
|&font2(80%){せんたんのかつりょく};仙丹の活力		|>||光を4個つなげると攻撃力が上昇、8個以上で最大4倍((ver6.4とver8.1で8個4倍(固定)→6個3倍〜8個4倍→4個2倍〜8個4倍に変更))。((6個で3倍、1個増すごとに倍率が0.5増加))|孫悟空&br;金毛の猿神・孫悟空&br;大聖の金猿神・孫悟空|&aname(ls1071,full,super){ls1071};|
|&font2(80%){せんたんのひおく};仙丹の秘奥		|>||光を4個以上つなげると攻撃力が上昇、最大5倍。((6個で3倍、1個増すごとに倍率が0.5増加))|功徳の金猿神・孫悟空|&aname(ls2660,full,super){ls2660};|
|&font2(80%){さいやくのとうらい};災厄の到来		|>||闇を4個つなげると攻撃力が上昇、8個以上で最大4倍((ver6.4とver8.1で8個4倍(固定)→6個3倍〜8個4倍→4個2倍〜8個4倍に変更))。((6個で3倍、1個増すごとに倍率が0.5増加))|パンドラ&br;冥夜の女神・パンドラ&br;魔哭の冥夜神・パンドラ|&aname(ls1073,full,super){ls1073};|
|&font2(80%){さいやくのでんぱ};災厄の伝播		|>||闇を4個以上つなげると攻撃力が上昇、最大5倍。((6個で3倍、1個増すごとに倍率が0.5増加))|冷刻の冥夜神・パンドラ|&aname(ls2661,full,super){ls2661};|
|&font2(80%){きょうへんのばら};凶変の薔薇		|>||悪魔タイプの全パラメータがほんの少し上昇。&br;闇を4個つなげると攻撃力が上昇、8個以上で最大4倍。((6個で3倍、1個増すごとに倍率が0.5増加))|覚醒パンドラ|&aname(ls2662,full,super){ls2662};|
|しんおうのけつぞく	|>||火を6個つなげると攻撃力が上昇、8個以上で最大4倍。((6個で3倍、1個増すごとに倍率が0.5増加))|ミニやまとたける|&aname(ls2024,full,super){ls2024};|
|おうじょのしゅくせい	|>||水を6個つなげると攻撃力が上昇、8個以上で最大4倍。((6個で3倍、1個増すごとに倍率が0.5増加))|ミニあんどろめだ|&aname(ls2025,full,super){ls2025};|
|じんぎのしゅご		|>||木を6個つなげると攻撃力が上昇、8個以上で最大4倍。((6個で3倍、1個増すごとに倍率が0.5増加))|ミニぺるせうす|&aname(ls2026,full,super){ls2026};|
|せんたんのかつりょく	|>||光を6個つなげると攻撃力が上昇、8個以上で最大4倍。((6個で3倍、1個増すごとに倍率が0.5増加))|ミニそんごくう|&aname(ls2027,full,super){ls2027};|
|さいやくのとうらい	|>||闇を6個つなげると攻撃力が上昇、8個以上で最大4倍。((6個で3倍、1個増すごとに倍率が0.5増加))|ミニぱんどら|&aname(ls2028,full,super){ls2028};|
|&font2(80%){げんわくのじゃえん};幻惑の蛇炎		|>||火を8個つなげると攻撃力が上昇、10個以上で最大5倍。((8個で4倍、1個増すごとに倍率が0.5増加))|灼冥魔・スカーレット&br;闊達の灼冥魔・スカーレット|&aname(ls2205,full,super){ls2205};|
|&font2(80%){けいかいりゅうごう・どる&#12436;ぁ};継界龍合・ドルヴァ		|>||回復を3個つなげると攻撃力が上昇、6個以上で最大6.5倍((ver8.0で3個1.5倍～6個6倍→3個2倍～6個6.5倍に修正))。((3個で2倍、1個増すごとに倍率が1.5増加))|黒龍契士・ティフォン&br;滅雷の黒龍契士・ティフォン|&aname(ls1948,full,super){ls1948};|
|&font2(80%){ちょうわのほうしゅ};調和の宝珠		|>||光か闇を5個つなげると攻撃力が3倍、6個以上で3.5倍。|調和神バランシール アナザー|&aname(ls2244,full,super){ls2244};|
|&font2(80%){うみ…うれしい…};海…嬉しい…		|>||水か闇を4個つなげると攻撃力が上昇、8個以上で最大4倍((ver8.1で6個3倍〜8個4倍→4個2倍〜8個4倍に変更))。((6個で3倍、1個増すごとに倍率が0.5増加))|冥夜の令嬢・パンドラ|&aname(ls2292,full,super){ls2292};|
|&font2(80%){せかいのそうぞうしゅ};世界の創造主		|>||光か闇を5個つなげると攻撃力が3倍、6個以上で3.5倍。&br;神と悪魔タイプの回復力が1.35倍。|万能の調和神バランシール アナザー|&aname(ls2245,full,super){ls2245};|
|&font2(80%){めいかいのしんすい};冥海の神水		|>||水か闇を5個つなげると攻撃力が上昇、11個以上で最大6倍((ver8.1で5個3倍〜7個4倍→5個3倍〜11個6倍に変更))。((5個で3倍、1個増すごとに倍率が0.5増加))&br;神タイプの回復力が1.5倍。|ネプチューン＝ドラゴン&br;海王神・ネプチューン＝ドラゴン|&aname(ls2254,full,super){ls2254};|
|&font2(80%){ろくれんせんのしんもん};六連銭の神紋		|>||強化ドロップを含めて5個消した属性の攻撃力が3.5倍。&br;攻撃タイプのHPが1.5倍。|真田幸村&br;苛烈の勇猛神・真田幸村|&aname(ls2264,full,super){ls2264};|
|&font2(80%){ききょうのしんもん};桔梗の神紋		|>||強化ドロップを含めて5個消した属性の攻撃力が3.5倍。&br;悪魔タイプのHPが1.5倍。|明智光秀&br;深慮の謀略神・明智光秀|&aname(ls2272,full,super){ls2272};|
|&font2(80%){けいげつのとこやみ};桂月の常闇		|>||強化ドロップを含めて5個消した属性の攻撃力が4倍。&br;神タイプの攻撃力と回復力が1.5倍。|ヨミ＝ドラゴン&br;夜刻神・ツクヨミ＝ドラゴン|&aname(ls2260,full,super){ls2260};|
|&font2(80%){きこくのしんげき};鬼刻の神撃		|>||強化ドロップを含めて5個消した属性の攻撃力が3倍。&br;6コンボで攻撃力が2倍、7コンボ以上で2.5倍。|覚醒ツクヨミ|&aname(ls2325,full,super){ls2325};|
|&font2(80%){みょうじょうのもくしろく};明星の黙示録		|>||悪魔と神タイプの全パラメータが少し上昇。&br;闇を6個以上つなげると攻撃力が3倍。|覚醒神魔王ルシファー|&aname(ls2507,full,super){ls2507};|
|>|>|>|>|>|BGCOLOR(#ffffff):【能力アップ（複合）】&aname(multiBuff);|
||CENTER:|CENTER:||||c
|&font2(80%){みずのじゅほう};水の呪法			|>||水属性の攻撃力が2倍。&br;水属性以外の敵から受けるダメージが0.75倍。|ピアニース|&aname(ls2116,full,super){ls2116};|
|&font2(80%){すいりゅうのじゅほう};水流の呪法		|>||水属性の攻撃力が2.5倍。&br;水属性以外の敵から受けるダメージが0.75倍。|誘水姫・ピアニース|&aname(ls2117,full,super){ls2117};|
|&font2(80%){しゅんきょのひょうかい};峻拒の雹塊		|>||悪魔タイプの攻撃力が3倍。&br;火属性以外の敵から受けるダメージが0.8倍。|凍冥魔・インディゴ&br;刻薄の凍冥魔・インディゴ|&aname(ls2262,full,super){ls2262};|
|ルビーカウル		|>||HP50％以上で、マシンタイプの攻撃力が2.5倍。&br;水属性以外の敵から受けるダメージが0.8倍。|火の機甲龍・サドル|&aname(ls2333,full,super){ls2333};|
|サファイアカウル		|>||HP50％以上で、マシンタイプの攻撃力が2.5倍。&br;木属性以外の敵から受けるダメージが0.8倍。|水の機甲龍・ギェナー|&aname(ls2334,full,super){ls2334};|
|ゴールドカウル		|>||HP50％以上で、マシンタイプの攻撃力が2.5倍。&br;闇属性以外の敵から受けるダメージが0.8倍。|光の機甲龍・アクルックス|&aname(ls2337,full,super){ls2337};|
|メタルカウル		|>||HP50％以上で、マシンタイプの攻撃力が2.5倍。&br;光属性以外の敵から受けるダメージが0.8倍。|闇の機甲龍・ガクルックス|&aname(ls2338,full,super){ls2338};|
|&font2(80%){たそがれのじぐそーぱずる};黄昏のジクソーパズル	|>||火属性の攻撃力が2.5倍。&br;火属性の敵から受けるダメージが0.75倍。|茜空の魔法使い・チェスター&br;黄昏の魔術師・チェスター|&aname(ls1706,full,super){ls1706};|
|&font2(80%){なつやすみとはいいものですね};夏休みとはいいものですね	|>||水属性の攻撃力が2.5倍。&br;水属性の敵から受けるダメージが0.75倍。|夏色の旅行者・チェスター|&aname(ls2291,full,super){ls2291};|
|&font2(80%){えいせいのかぜどけい};永世の風時計		|>||木属性の攻撃力が2.5倍。&br;木属性の敵から受けるダメージが0.75倍。|彷徨の魔法使い・ウィジャス&br;永世の魔術師・ウィジャス|&aname(ls1704,full,super){ls1704};|
|&font2(80%){じくうのひかりどけい};時空の光時計		|>||光属性の攻撃力が2.5倍。&br;光属性の敵から受けるダメージが0.75倍。|放浪の魔法使い・ウィジャス&br;時空の魔術師・ウィジャス|&aname(ls1624,full,super){ls1624};|
|&font2(80%){じげんのじぐそーぱずる};次元のジクソーパズル	|>||闇属性の攻撃力が2.5倍。&br;闇属性の敵から受けるダメージが0.75倍。|道化の魔法使い・チェスター&br;次元の魔術師・チェスター|&aname(ls1626,full,super){ls1626};|
|&font2(80%){きりゅうのげきりん};騎龍の逆鱗		|>||ドラゴンタイプの攻撃力が3倍。&br;木、光属性の敵から受けるダメージが0.75倍。|騎龍王・ノルディス|&aname(ls1844,full,super){ls1844};|
|&font2(80%){きりゅうおうのげきりん};騎龍王の逆鱗		|>||ドラゴンタイプの攻撃力が3倍。&br;木、光属性の敵から受けるダメージが0.7倍。|解放の騎龍王・ノルディス|&aname(ls1845,full,super){ls1845};|
|&font2(80%){わたしもきえようえいえんに！！};私も消えよう永遠に！！	|>||光属性の攻撃力が1.5倍。&br;闇属性の敵から受けるダメージが0.5倍。|ネオエクスデス|&aname(ls2056,full,super){ls2056};|
|&font2(80%){ひょうえんのりゅうごりょく};氷炎の龍護力		|>||ドラゴンタイプの攻撃力が2倍。&br;火、水属性の敵から受けるダメージが0.5倍。|五鉱の魔石龍・ミスリルエッジ|&aname(ls1713,full,super){ls1713};|
|&font2(80%){れんりゅうのしんまりょく};煉龍の神魔力		|>||火属性とドラゴンタイプの攻撃力が2.5倍。&br;火、光、闇属性の敵から受けるダメージが0.5倍。((ver8.6.1で変更))|覚醒ミネルヴァ|&aname(ls1533,full,super){ls1533};|
|&font2(80%){きょっかいのしんまりょく};極海の神魔力		|>||水属性と攻撃タイプの攻撃力が2.5倍。&br;水、光、闇属性の敵から受けるダメージが0.5倍。((ver8.6.1で変更))|覚醒ネプチューン|&aname(ls1534,full,super){ls1534};|
|&font2(80%){れいじゅのしんまりょく};霊樹の神魔力		|>||木属性とバランスタイプの攻撃力が2.5倍。&br;木、光、闇属性の敵から受けるダメージが0.5倍。((ver8.6.1で変更))|覚醒セレス|&aname(ls1535,full,super){ls1535};|
|&font2(80%){あいえんのしんまりょく};愛縁の神魔力		|>||光属性と回復タイプの攻撃力が2.5倍。&br;水、光、闇属性の敵から受けるダメージが0.5倍。((ver8.6.1で変更))|覚醒ヴィーナス|&aname(ls1928,full,super){ls1928};|
|&font2(80%){めいごくのしんまりょく};冥獄の神魔力		|>||闇属性と悪魔タイプの攻撃力が2.5倍。&br;木、光、闇属性の敵から受けるダメージが0.5倍。((ver8.6.1で変更))|覚醒ハーデス|&aname(ls1748,full,super){ls1748};|
|&font2(80%){ようこうのしんへき};陽光の神壁		|>||神タイプの攻撃力が1.5倍。((ver7.2で追加))&br;火、光属性の敵から受けるダメージが0.45倍。|戦女神・セイントミネルヴァ((ver6.1で変更))|&aname(ls0388,full,super){ls0388};|
|&font2(80%){せいかいのしんへき};聖海の神壁		|>||神タイプの攻撃力が1.5倍。((ver7.2で追加))&br;水、光属性の敵から受けるダメージが0.45倍。|海王神・ヘブンズネプチューン((ver6.1で変更))|&aname(ls0390,full,super){ls0390};|
|&font2(80%){せいじゅのしんへき};聖樹の神壁		|>||神タイプの攻撃力が1.5倍。((ver7.2で追加))&br;木、光属性の敵から受けるダメージが0.45倍。|豊穣神・ホーリーセレス((ver6.1で変更))|&aname(ls0392,full,super){ls0392};|
|&font2(80%){こうしんのしゅご};光神の守護		|>||神タイプの攻撃力が1.5倍。((ver7.2で追加))&br;光属性の敵から受けるダメージが0.4倍。|慈愛神・コスモスヴィーナス|&aname(ls0394,full,super){ls0394};|
|&font2(80%){こうあんのしんへき};光闇の神壁		|>||神タイプの攻撃力が1.5倍。((ver7.2で追加))&br;光、闇属性の敵から受けるダメージが0.45倍。|冥界神・アークハーデス((ver6.1で変更))|&aname(ls0396,full,super){ls0396};|
|&font2(80%){じゃえんのしんへき};邪炎の神壁		|>||悪魔タイプの攻撃力が1.5倍。((ver7.2で追加))&br;火、闇属性の敵から受けるダメージが0.45倍。|戦女神・ダークミネルヴァ((ver6.1で変更))|&aname(ls0389,full,super){ls0389};|
|&font2(80%){まひょうのしんへき};魔氷の神壁		|>||悪魔タイプの攻撃力が1.5倍。((ver7.2で追加))&br;水、闇属性の敵から受けるダメージが0.45倍。|海王神・アビスネプチューン((ver6.1で変更))|&aname(ls0391,full,super){ls0391};|
|&font2(80%){じゅかのへんへき};呪花の神壁		|>||悪魔タイプの攻撃力が1.5倍。((ver7.2で追加))&br;木、闇属性の敵から受けるダメージが0.45倍。|豊穣神・イービルセレス((ver6.1で変更))|&aname(ls0393,full,super){ls0393};|
|&font2(80%){せいじゃのしんへき};聖邪の神壁		|>||悪魔タイプの攻撃力が1.5倍。((ver7.2で追加))&br;光、闇属性の敵から受けるダメージが0.45倍。|慈愛神・カオスヴィーナス((ver6.1で変更))|&aname(ls0395,full,super){ls0395};|
|&font2(80%){しにがみのしゅご};死神の守護		|>||悪魔タイプの攻撃力が1.5倍。((ver7.2で追加))&br;闇属性の敵から受けるダメージが0.4倍。|冥界神・インフェルノハーデス|&aname(ls0397,full,super){ls0397};|
|&font2(80%){さんご・ひてんのまい};三護・緋天の舞		|>||火、木、光、回復の中から3色同時攻撃で攻撃力が3.5倍。((ver8.6.1で変更))&br;火、木、光属性の敵から受けるダメージが0.7倍。|覚醒レイラン|&aname(ls2073,full,super){ls2073};|
|&font2(80%){さんご・しょうりゅうのまい};三護・昇龍の舞		|>||水、木、闇、回復の中から3色同時攻撃で攻撃力が3.5倍。((ver8.6.1で変更))&br;水、木、闇属性の敵から受けるダメージが0.7倍。|覚醒カリン|&aname(ls2074,full,super){ls2074};|
|&font2(80%){さんご・れいきのまい};三護・霊亀の舞		|>||木、光、闇、回復の中から3色同時攻撃で攻撃力が3.5倍。((ver8.6.1で変更))&br;木、光、闇属性の敵から受けるダメージが0.7倍((ver7.8で0.8倍→0.7倍に修正))。|覚醒メイメイ|&aname(ls2075,full,super){ls2075};|
|&font2(80%){さんご・こほうのまい};三護・虎咆の舞		|>||火、水、闇、回復の中から3色同時攻撃で攻撃力が3.5倍。((ver8.6.1で変更))&br;火、水、闇属性の敵から受けるダメージが0.7倍。|覚醒ハク|&aname(ls2076,full,super){ls2076};|
|&font2(80%){とうめつのしんねん};討滅の神念		|>||木の2コンボ以上で攻撃力が3倍。&br;受けるダメージが0.8倍。|覚醒スサノオノミコト|&aname(ls2323,full,super){ls2323};|
|&font2(80%){じゅてんのせいごいん};樹天の聖護印		|>||木の2コンボ以上で攻撃力が3.5倍。&br;回復ドロップの5個十字消しで受けるダメージが0.65倍。|碧龍喚士・カエデ&br;金風の碧龍喚士・カエデ|&aname(ls2145,full,super){ls2145};|
|&font2(80%){はっそうのせいごいん};八相の聖護印		|>||強化ドロップを含めて5個消した属性の攻撃力が4.5倍。&br;回復ドロップの5個十字消しで受けるダメージが0.65倍。|藍龍喚士・スミレ&br;朝凪の藍龍喚士・スミレ|&aname(ls2143,full,super){ls2143};|
|&font2(80%){しんかいのじんぷう};神界の陣風		|>||神タイプの攻撃力と回復力が1.5倍。&br;HP満タン時、受けるダメージが0.2倍。|オーディン＝ドラゴン&br;光槍神・オーディン＝ドラゴン|&aname(ls2256,full,super){ls2256};|
|デッキオープン		|>||HP80％以上で、火属性の攻撃力が3倍。&br;ドロップを消した時、回復力×2倍のHPを回復。|エース|&aname(ls2045,full,super){ls2045};|
|アタックデッキ		|>||HP50％以上で、火属性の攻撃力が3倍。&br;ドロップを消した時、回復力×2倍のHPを回復。|アギト候補生・エース|&aname(ls2046,full,super){ls2046};|
|&font2(80%){ひのめぐみ};火の恵み			|>||火属性の攻撃力が2倍。&br;ドロップを消した時、回復力×4倍のHPを回復。|火熱の丼龍・ギュンド|&aname(ls1761,full,super){ls1761};|
|&font2(80%){みずのめぐみ};水の恵み			|>||水属性の攻撃力が2倍。&br;ドロップを消した時、回復力×4倍のHPを回復。|香彩の丼龍・ハッポウ|&aname(ls1762,full,super){ls1762};|
|&font2(80%){きのめぐみ};木の恵み			|>||木属性の攻撃力が2倍。&br;ドロップを消した時、回復力×4倍のHPを回復。|芳醇の丼龍・カツミン|&aname(ls1763,full,super){ls1763};|
|&font2(80%){ひのめぐみ};陽の恵み			|>||光属性の攻撃力が2倍。&br;ドロップを消した時、回復力×4倍のHPを回復。|日出の丼龍・ガショウ|&aname(ls1764,full,super){ls1764};|
|&font2(80%){つきのめぐみ};月の恵み			|>||闇属性の攻撃力が2倍。&br;ドロップを消した時、回復力×4倍のHPを回復。|月釜の丼龍・ハガマル|&aname(ls1765,full,super){ls1765};|
|すぐなおしてあげる!!		|>||神タイプの攻撃力が2倍。&br;ドロップを消した時、回復力×4倍のHPを回復。|デンデ＆ポルンガ|&aname(ls1803,full,super){ls1803};|
|ふたりのエール		|>||バランスタイプの攻撃力と回復力((ver7.7で追加))が2倍。((ver7.7で追加))&br;ドロップを消した時、回復力×5倍のHPを回復。|光翼の絆・ソルジャーズ|&aname(ls0992,full,super){ls0992};|
|&font2(80%){りじぇねーたー・かい};リジェネーター・改		|>||回復タイプの攻撃力が3倍。&br;ドロップを消した時、回復力×5倍((ver7.7で2倍→5倍に修正))のHPを回復。|究極装備・からくり士|&aname(ls1905,full,super){ls1905};|
|&font2(80%){はまのごせいじん};破魔の護聖陣		|>||攻撃タイプの攻撃力が3倍。&br;ドロップを消した時、回復力×5倍のHPを回復。|焔天舞神・アマテラスオオカミ|&aname(ls1557,full,super){ls1557};|
|&font2(80%){てんじょうのしんゆ};天上の神癒		|>||神タイプの攻撃力が1.5倍。((ver7.2で追加))&br;ドロップを消した時、回復力×6倍のHPを回復。|光臨舞神・アマテラスオオカミ|&aname(ls0988,full,super){ls0988};|
|&font2(80%){にちてんのしんゆ};日天の神癒		|>||HPに応じて回復タイプの攻撃力が上昇、最大4倍。((HP満タンで4倍、HP99％以下で3倍))&br;ドロップを消した時、回復力×10倍のHPを回復。|覚醒アマテラスオオカミ|&aname(ls2324,full,super){ls2324};|
|アタマにきたぞ…!!		|>||体力タイプの攻撃力が1.5倍。&br;HP70％以上で、HPが0になる攻撃を受けてもHPが1残る。|ナッパ&br;サイヤ人・ナッパ|&aname(ls1795,full,super){ls1795};|
|&font2(80%){こんじょうたりねえぞこらぁ！};根性たりねえぞコラァ！	|>||体力タイプの攻撃力が1.5倍。&br;HP70％以上で、HPが0になる攻撃を受けてもHPが1残る。|剛腕番長・ギガンテス|&aname(ls2019,full,super){ls2019};|
|&font2(80%){きゃっとそうる・ひ};キャットソウル・火		|>||HP50％以下で、火属性の攻撃力が3倍。&br;HP70％以上で、HPが0になる攻撃を受けてもHPが1残る。|火の猫龍・シマニャドラ|&aname(ls1957,full,super){ls1957};|
|&font2(80%){きゃっとそうる・みず};キャットソウル・水		|>||HP50％以下で、水属性の攻撃力が3倍。&br;HP70％以上で、HPが0になる攻撃を受けてもHPが1残る。|水の猫龍・ロシニャドラ|&aname(ls1958,full,super){ls1958};|
|&font2(80%){きゃっとそうる・き};キャットソウル・木		|>||HP50％以下で、木属性の攻撃力が3倍。&br;HP70％以上で、HPが0になる攻撃を受けてもHPが1残る。|木の猫龍・ミケニャドラ|&aname(ls1959,full,super){ls1959};|
|&font2(80%){きゃっとそうる・ひかり};キャットソウル・光		|>||HP50％以下で、光属性の攻撃力が3倍。&br;HP70％以上で、HPが0になる攻撃を受けてもHPが1残る。|光の猫龍・ペルニャドラ|&aname(ls1960,full,super){ls1960};|
|&font2(80%){きゃっとそうる・やみ};キャットソウル・闇		|>||HP50％以下で、闇属性の攻撃力が3倍。&br;HP70％以上で、HPが0になる攻撃を受けてもHPが1残る。|闇の猫龍・クロニャドラ|&aname(ls1961,full,super){ls1961};|
|&font2(80%){ほーりーらいと・れくいえむ};ホーリーライト・Ｒ		|>||火、木、光の同時攻撃で攻撃力が2.5倍。&br;HP70％以上で、HPが0になる攻撃を受けてもHPが1残る。|聖姫アルマ|&aname(ls2242,full,super){ls2242};|
|カピバラさんといっしょ	|>||火、木、光の同時攻撃で攻撃力が3倍。&br;HP70％以上で、HPが0になる攻撃を受けてもHPが1残る。|アルマとカピバラさん|&aname(ls2243,full,super){ls2243};|
|&font2(80%){なんとれっきゃくざんじん};南斗烈脚斬陣		|>||攻撃タイプの攻撃力が2倍。&br;HP50％以上で、HPが0になる攻撃を受けてもHPが1残る。|南斗白鷺拳・シュウ|&aname(ls1871,full,super){ls1871};|
|&font2(80%){えんしょうのちかい};燕将の誓い		|>||[[克己の龍英傑・劉備>モンスター図鑑/1743]]がチームにいると攻撃力が2.5倍。&br;HP50％以上で、HPが0になる攻撃を受けてもHPが1残る。|張飛((ver7.5で変更))&br;決死の燕将軍・張飛((ver7.5で変更))|&aname(ls1424,full,super){ls1424};|
|&font2(80%){はっかいのしんこん};八界の神魂		|>||4コンボで攻撃力が上昇、8コンボ以上で最大4倍。((4コンボで2倍、1コンボ増すごとに倍率が0.50増加))&br;HP50％以上で、HPが0になる攻撃を受けてもHPが1残る。|覚醒ヤマタノオロチ|&aname(ls2322,full,super){ls2322};|
|&font2(80%){しのがっそう};死の合奏			|>||悪魔タイプの攻撃力と回復力が1.5倍。&br;ドロップ操作時間を1秒延長。|死鬼者デスワルツ|&aname(ls2162,full,super){ls2162};|
|&font2(80%){へらまりあのといき};ヘラマリアの吐息		|>||悪魔タイプの攻撃力が1.5倍。&br;ドロップ操作時間を5秒延長。|神王妃・ヘラマリア|&aname(ls1888,full,super){ls1888};|
|&font2(80%){れでぃーす あんど じぇんとるめん};LADIES & GENTLEMEN	|>||バランスタイプの攻撃力が2.5倍。&br;ドロップ操作時間を3秒延長。|怪盗キッド|&aname(ls1924,full,super){ls1924};|
|ヘイスジャ		|>||回復((ver7.7で追加))と神タイプの攻撃力が3倍。&br;ドロップ操作時間を2秒延長。|究極装備・時魔道士|&aname(ls1903,full,super){ls1903};|
|&font2(80%){もうなにもおそれるものはない};もう何も恐れるものはない	|>||HP10％以下で、悪魔タイプの攻撃力が4倍。&br;ドロップ操作時間を1秒延長。|スケアクロウ&br;スケアクロウ＋フィアーガス|&aname(ls2137,full,super){ls2137};|
|パワー・オブ・ラヴ		|>||HP満タン時、攻撃力が3倍。&br;ドロップ操作時間を1秒延長。|ゼウス＆ヘラ|&aname(ls1922,full,super){ls1922};|
|ソウル・オブ・ラヴ		|>||HPに応じて攻撃力が上昇、最大3.5倍。((HP80％以上で3.5倍、HP50％以上で3倍))&br;ドロップ操作時間を1.5秒延長。|相思の天界神・ゼウス＆ヘラ|&aname(ls1923,full,super){ls1923};|
|ガ…グ…グ…ゴ…		|>||闇属性の攻撃力が2倍。&br;攻撃を受けると、闇属性で反撃（ダメージx1）|ゼロムス|&aname(ls2055,full,super){ls2055};|
|&font2(80%){まほうがえし};魔法返し			|>||闇属性のHPと攻撃力が1.5倍。&br;攻撃を受けると、闇属性で反撃（ダメージx1）|ビビ|&aname(ls2039,full,super){ls2039};|
|&font2(80%){りふれくばいがえし};リフレク倍返し		|>||闇属性のHPと攻撃力が1.5倍。&br;攻撃を受けると、闇属性で反撃（ダメージx2）|トランス・ビビ|&aname(ls2040,full,super){ls2040};|
|&font2(80%){きょうかいのおきて};鏡界の掟			|>||ドラゴンと悪魔タイプのHPと攻撃力が2倍。&br;攻撃を受けると、光属性で反撃（ダメージx2）|鏡界の守護者・フィレム|&aname(ls1915,full,super){ls1915};|
|&font2(80%){せっしょうせき};紲晶石			|>||悪魔タイプの攻撃力と回復力が2倍。&br;攻撃を受けると、闇属性で反撃（ダメージx2）|神羅終極神カイ|&aname(ls1978,full,super){ls1978};|
|>|>|>|>|>|BGCOLOR(#ffffff):【ダメージ軽減】&aname(guard);|
||CENTER:|CENTER:||||c
|&font2(80%){ひのまもり};火の守り			|>|BGCOLOR(#f1bba6):火|火属性の敵から受けるダメージが0.7倍。|レッドドラゴン&br;ボルケーノドラゴン&br;炎の魔剣士&br;フェニックスナイト|&aname(ls0022,full,super){ls0022};|
|&font2(80%){ほのおのぼうへき};炎の防壁			|>|BGCOLOR(#f1bba6):火|火属性の敵から受けるダメージが0.5倍。|ミネルヴァ&br;戦女神・ミネルヴァ&br;メテオボルケーノドラゴン&br;ポリン&br;炎龍・ムスプルヘイム&br;究極炎龍・ムスプルヘイム|&aname(ls0122,full,super){ls0122};|
|&font2(80%){かりゅうのしゅご};火龍の守護		|>|BGCOLOR(#f1bba6):火|火属性の敵から受けるダメージが0.45倍。|ハリケーンボルケーノドラゴン|&aname(ls1090,full,super){ls1090};|
|&font2(80%){みずのまもり};水の守り			|>|BGCOLOR(#a6f1f1):水|水属性の敵から受けるダメージが0.7倍。|ブルードラゴン&br;オーロラドラゴン&br;氷の魔剣士&br;フェンリルナイト|&aname(ls0025,full,super){ls0025};|
|&font2(80%){こおりのぼうへき};氷の防壁			|>|BGCOLOR(#a6f1f1):水|水属性の敵から受けるダメージが0.5倍。|ネプチューン&br;海王神・ネプチューン&br;クリスタルオーロラドラゴン&br;マーリン&br;氷龍・ニブルヘイム&br;究極氷龍・ニブルヘイム&br;蒼炎龍・ムスプルヘイム&br;カオスブリザードドラゴン|&aname(ls0124,full,super){ls0124};|
|&font2(80%){すいりゅうのしゅご};水龍の守護		|>|BGCOLOR(#a6f1f1):水|水属性の敵から受けるダメージが0.45倍。|ブラストオーロラドラゴン|&aname(ls1091,full,super){ls1091};|
|&font2(80%){きのまもり};木の守り			|>|BGCOLOR(#bbf1a6):木|木属性の敵から受けるダメージが0.7倍。|グリーンドラゴン&br;アースドラゴン&br;岩の魔剣士&br;ドラゴンナイト|&aname(ls0028,full,super){ls0028};|
|&font2(80%){たいじゅのぼうへき};大樹の防壁		|>|BGCOLOR(#bbf1a6):木|木属性の敵から受けるダメージが0.5倍。|セレス&br;豊穣神・セレス&br;グラビトンアースドラゴン&br;ポポリン&br;島龍・ユグドラシル&br;究極島龍・ユグドラシル|&aname(ls0126,full,super){ls0126};|
|&font2(80%){ちりゅうのしゅご};地龍の守護		|>|BGCOLOR(#bbf1a6):木|木属性の敵から受けるダメージが0.45倍。|ジェネレイトアースドラゴン|&aname(ls1092,full,super){ls1092};|
|&font2(80%){ひかりのまもり};光の守り			|>|BGCOLOR(#f1f1a6):光|光属性の敵から受けるダメージが0.7倍。|ホワイトドラゴン&br;ホーリードラゴン&br;光の魔剣士&br;ヴァーチェ|&aname(ls0031,full,super){ls0031};|
|&font2(80%){ひかりのぼうへき};光の防壁			|>|BGCOLOR(#f1f1a6):光|光属性の敵から受けるダメージが0.5倍。|ヴィーナス&br;慈愛神・ヴィーナス&br;ライトニングホーリードラゴン&br;ドロップス&br;機龍・ヴァルハラ&br;究極機龍・ヴァルハラ|&aname(ls0128,full,super){ls0128};|
|&font2(80%){しんえんのぼうご};深淵の防護		|>|BGCOLOR(#f1f1a6):光|光属性の敵から受けるダメージが0.5倍。|ドラゴンゾンビ&br;屍霊龍・ドラゴンゾンビ|&aname(ls1061,full,super){ls1061};|
|&font2(80%){こうごうせい};光合成			|>|BGCOLOR(#f1f1a6):光|光属性の敵から受けるダメージが0.3倍。|ヘラ・ベオーク&br;覚醒ヘラ・ベオーク|&aname(ls1188,full,super){ls1188};|
|&font2(80%){やみのまもり};闇の守り			|>|BGCOLOR(#bba6f1):闇|闇属性の敵から受けるダメージが0.7倍。|ブラックドラゴン&br;デビルドラゴン&br;闇の魔剣士&br; ダークドラゴンナイト|&aname(ls0034,full,super){ls0034};|
